Book Name,Author,Rating,Amount of Ratings,URL
The Invisible Life of Addie LaRue,V.E. Schwab,4.22,"688,604",https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
The Midnight Library,Matt Haig(Goodreads Author),4.03,"1,125,396",https://www.goodreads.com/book/show/52578297-the-midnight-library
The House in the Cerulean Sea,T.J. Klune(Goodreads Author),4.45,"360,242",https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea
My Dark Vanessa,Kate Elizabeth Russell,4.08,"223,583",https://www.goodreads.com/book/show/44890081-my-dark-vanessa
The Vanishing Half,Brit Bennett(Goodreads Author),4.18,"615,707",https://www.goodreads.com/book/show/51791252-the-vanishing-half
Project Hail Mary,Andy Weir(Goodreads Author),4.52,"328,559",https://www.goodreads.com/book/show/54493401-project-hail-mary
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas(Goodreads Author),4.48,"313,026",https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood
Beach Read,Emily Henry(Goodreads Author),4.06,"609,950",https://www.goodreads.com/book/show/52867387-beach-read
Piranesi,Susanna Clarke,4.25,"173,065",https://www.goodreads.com/book/show/50202953-piranesi
The Guest List,Lucy Foley(Goodreads Author),3.85,"669,710",https://www.goodreads.com/book/show/51933429-the-guest-list
American Dirt,Jeanine Cummins(Goodreads Author),4.37,"460,861",https://www.goodreads.com/book/show/45046527-american-dirt
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.83,"318,845",https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes
Bell Hammers,Lancelot Schaubert(Goodreads Author),4.33,419,https://www.goodreads.com/book/show/48731251-bell-hammers
The Four Winds,Kristin Hannah(Goodreads Author),4.31,"457,538",https://www.goodreads.com/book/show/53138081-the-four-winds
Caste: The Origins of Our Discontents,Isabel Wilkerson(Goodreads Author),4.55,"111,566",https://www.goodreads.com/book/show/51152447-caste
Malibu Rising,Taylor Jenkins Reid(Goodreads Author),4.09,"598,136",https://www.goodreads.com/book/show/55404546-malibu-rising
Mexican Gothic,Silvia Moreno-Garcia(Goodreads Author),3.68,"255,822",https://www.goodreads.com/book/show/53152636-mexican-gothic
The Love Hypothesis,Ali Hazelwood(Goodreads Author),4.29,"728,112",https://www.goodreads.com/book/show/56732449-the-love-hypothesis
"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus(Goodreads Author),3.97,"157,678",https://www.goodreads.com/book/show/44654627-one-of-us-is-next
Hamnet,Maggie O'Farrell(Goodreads Author),4.24,"174,636",https://www.goodreads.com/book/show/43890641-hamnet
"A Deadly Education (The Scholomance, #1)",Naomi Novik(Goodreads Author),4.01,"103,693",https://www.goodreads.com/book/show/50548197-a-deadly-education
Klara and the Sun,Kazuo Ishiguro(Goodreads Author),3.77,"220,618",https://www.goodreads.com/book/show/54120408-klara-and-the-sun
"Network Effect (The Murderbot Diaries, #5)",Martha Wells(Goodreads Author),4.47,"53,702",https://www.goodreads.com/book/show/52381770-network-effect
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas(Goodreads Author),4.41,"382,380",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall(Goodreads Author),4.40,"38,738",https://www.goodreads.com/book/show/36687229-hood-feminism
Untamed,Glennon Doyle(Goodreads Author),4.01,"338,320",https://www.goodreads.com/book/show/52129515-untamed
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson(Goodreads Author),4.28,"96,783",https://www.goodreads.com/book/show/51187948-the-splendid-and-the-vile
A Promised Land,Barack Obama(Goodreads Author),4.36,"181,897",https://www.goodreads.com/book/show/55359022-a-promised-land
Long Bright River,Liz    Moore(Goodreads Author),4.05,"90,852",https://www.goodreads.com/book/show/43834909-long-bright-river
"Chain of Gold (The Last Hours, #1)",Cassandra Clare(Goodreads Author),4.44,"80,149",https://www.goodreads.com/book/show/43175835-chain-of-gold
Shuggie Bain,Douglas   Stuart(Goodreads Author),4.32,"109,357",https://www.goodreads.com/book/show/52741293-shuggie-bain
The Henna Artist (The Jaipur Trilogy #1),Alka Joshi(Goodreads Author),4.20,"135,627",https://www.goodreads.com/book/show/53007917-the-henna-artist
"The Mirror & the Light (Thomas Cromwell, #3)",Hilary Mantel,4.38,"32,056",https://www.goodreads.com/book/show/54860229-the-mirror-the-light
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout(Goodreads Author),4.28,"326,761",https://www.goodreads.com/book/show/52831200-from-blood-and-ash
Dear Edward,Ann Napolitano(Goodreads Author),4.09,"138,084",https://www.goodreads.com/book/show/45294613-dear-edward
Writers & Lovers,Lily King(Goodreads Author),4.05,"107,594",https://www.goodreads.com/book/show/52715989-writers-lovers
The Sun Down Motel,Simone St. James(Goodreads Author),4.03,"111,175",https://www.goodreads.com/book/show/45885644-the-sun-down-motel
Felix Ever After,Kacen Callender,4.32,"47,383",https://www.goodreads.com/book/show/45359713-felix-ever-after
In a Holidaze,Christina Lauren(Goodreads Author),3.74,"110,151",https://www.goodreads.com/book/show/50892287-in-a-holidaze
One to Watch,Kate Stayman-London(Goodreads Author),3.91,"81,494",https://www.goodreads.com/book/show/53103895-one-to-watch
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes(Goodreads Author),4.23,"268,585",https://www.goodreads.com/book/show/52439531-the-inheritance-games
Transcendent Kingdom,Yaa Gyasi(Goodreads Author),4.13,"122,920",https://www.goodreads.com/book/show/48570454-transcendent-kingdom
The Glass Hotel,Emily St. John Mandel(Goodreads Author),3.68,"135,333",https://www.goodreads.com/book/show/45754981-the-glass-hotel
The Rose Code,Kate Quinn(Goodreads Author),4.46,"152,960",https://www.goodreads.com/book/show/53914938-the-rose-code
Home Before Dark,Riley Sager(Goodreads Author),4.09,"126,867",https://www.goodreads.com/book/show/50833559-home-before-dark
"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert(Goodreads Author),4.06,"75,950",https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas(Goodreads Author),4.52,"151,879",https://www.goodreads.com/book/show/40132775-house-of-sky-and-breath
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.94,"251,360",https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout(Goodreads Author),4.43,"225,369",https://www.goodreads.com/book/show/54319549-a-kingdom-of-flesh-and-fire
The Girl with the Louding Voice,Abi Daré,4.45,"119,079",https://www.goodreads.com/book/show/50214741-the-girl-with-the-louding-voice
"The Past (VanWest, #1)",Kenneth   Thomas,3.76,685,https://www.goodreads.com/book/show/53450218-the-past
The Night Watchman,Louise Erdrich,4.13,"52,993",https://www.goodreads.com/book/show/43721059-the-night-watchman
Greenlights,Matthew McConaughey(Goodreads Author),4.21,"206,113",https://www.goodreads.com/book/show/52838315-greenlights
The Book of Longings,Sue Monk Kidd(Goodreads Author),4.24,"102,103",https://www.goodreads.com/book/show/52698452-the-book-of-longings
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty(Goodreads Author),4.51,"34,706",https://www.goodreads.com/book/show/52166786-the-empire-of-gold
Code Name Hélène,Ariel Lawhon(Goodreads Author),4.42,"31,726",https://www.goodreads.com/book/show/52791659-code-name-h-l-ne
